Scaled Voltage,Raw Voltage,Scaled Current,Raw Current,Balancing,Voltage Offset,Adjusted Voltage,10ms Avg. Voltage,10ms Avg. Current,Vset Changed
3.80005741,8500396,3.28363943,12795833,false,0.321142644,4.12276983,3.79998541,3.28383112,false
3.80023003,8500782,3.28559589,12798459,true,0.320935577,4.12256289,3.80001712,3.28388524,false
3.79967928,8499550,3.28518343,12797905,true,0.321224183,4.12285137,3.79997182,3.28410482,false
3.79982471,8499875,3.28244448,12794229,true,0.321381897,4.1230092,3.79996681,3.2838273,false
3.80036545,8501085,3.28508806,12797777,true,0.321052939,4.12268019,3.80002546,3.2840004,false
3.79976559,8499743,3.2841711,12796547,true,0.32126388,4.12289143,3.79998255,3.28423119,false
3.80014133,8500584,3.28668547,12799921,true,0.321136624,4.12276411,3.79998779,3.28427553,false
3.80006123,8500405,3.2855134,12798348,false,0.321136624,4.12276411,3.80001211,3.28445578,false
3.7998538,8499941,3.28363371,12795825,true,0.321268171,4.12289572,3.79997969,3.28454399,false
3.80037069,8501097,3.28425407,12796658,true,0.320934504,4.12256193,3.800035,3.284621,false
3.79988003,8499999,3.28289151,12794829,false,0.320934504,4.12256193,3.80001712,3.28454638,false
3.79986215,8499959,3.28505158,12797728,true,0.321058542,4.12268591,3.79998064,3.28449178,false
3.79993725,8500127,3.28335333,12795449,false,0.321058542,4.12268591,3.80000615,3.28430867,false
3.79977083,8499755,3.28321099,12795258,true,0.321264744,4.1228919,3.80000067,3.2843852,false
3.80008602,8500460,3.28344297,12795569,false,0.321264744,4.1228919,3.79997301,3.28422093,false
3.80009699,8500485,3.28244877,12794235,false,0.321264744,4.1228919,3.80000615,3.28404856,false
3.79998398,8500232,3.28618097,12799244,false,0.321264744,4.1228919,3.79999018,3.28399801,false
3.80005527,8500391,3.28450155,12796990,false,0.321264744,4.1228919,3.7999897,3.28389692,false
3.79991913,8500086,3.28490734,12797535,false,0.321264744,4.1228919,3.79999614,3.28402448,false
3.80028439,8500904,3.28660774,12799817,true,0.321008742,4.12263632,3.79998732,3.2842598,false
3.8000021,8500272,3.28370333,12795919,false,0.321008742,4.12263632,3.79999971,3.28434062,false
3.79984045,8499910,3.28352737,12795683,true,0.3211523,4.12277985,3.79999781,3.28418851,false
3.80018425,8500680,3.28094006,12792210,true,0.32098642,4.12261391,3.80002213,3.28394699,false
3.79814529,8496118,3.29884815,12816246,true,0.322655618,4.12428379,3.79985952,3.28551102,false
3.80009842,8500488,3.29792142,12815002,false,0.322655618,4.12428379,3.79986119,3.28695869,false
3.80092335,8502333,3.28982711,12804138,true,0.321824551,4.12345219,3.79994345,3.28769636,false
3.80028296,8500901,3.28992128,12804264,true,0.32156986,4.12319756,3.79997373,3.28807068,false
3.79906464,8498175,3.2991128,12816601,true,0.322411656,4.12404013,3.79987454,3.28953171,false
3.80079341,8502042,3.29267931,12807966,true,0.321697533,4.12332535,3.79996181,3.29030871,false
3.80027699,8500887,3.29028964,12804759,true,0.321448207,4.12307596,3.79996109,3.29067683,false
3.80015397,8500612,3.28956246,12803783,true,0.321309596,4.1229372,3.79997635,3.29126287,false
3.79955292,8499267,3.28746128,12800963,true,0.321711928,4.12333965,3.79994774,3.29165649,false
3.79994345,8500141,3.29021215,12804655,false,0.321711928,4.12333965,3.79992342,3.29258347,false
3.80020261,8500721,3.28697443,12800309,true,0.321529537,4.1231575,3.80012941,3.29139638,false
3.80034447,8501038,3.28492689,12797561,true,0.321219474,4.12284708,3.80015373,3.29009676,false
3.79982424,8499874,3.28403521,12796364,true,0.321377605,4.12300491,3.80004382,3.28951764,false
3.79997253,8500206,3.28441381,12796872,false,0.321377605,4.12300491,3.80001307,3.28896666,false
3.80009651,8500483,3.28312206,12795139,false,0.321377605,4.12300491,3.80011606,3.28736758,false
3.80022335,8500767,3.2843585,12796798,true,0.321176559,4.12280416,3.80005908,3.28653574,false
3.79994869,8500153,3.28451681,12797011,false,0.321176559,4.12280416,3.80002642,3.28595853,false
3.79999971,8500267,3.28775883,12801362,false,0.321176559,4.12280416,3.80001068,3.28577805,false
3.8000803,8500447,3.28188658,12793480,false,0.321176559,4.12280416,3.80006361,3.28522038,false
3.79983377,8499896,3.28424811,12796650,true,0.321326107,4.12295341,3.80005264,3.2846241,false
3.80008554,8500459,3.28423548,12796633,false,0.321326107,4.12295341,3.80004072,3.28435016,false
3.80025387,8500835,3.28408957,12796437,true,0.321097583,4.12272501,3.80003166,3.28426671,false
3.79994631,8500147,3.28609824,12799133,false,0.321097583,4.12272501,3.80004382,3.2844727,false
3.79990864,8500063,3.28417897,12796557,false,0.321097583,4.12272501,3.80003786,3.28444934,false
3.79989672,8500037,3.28350902,12795658,false,0.321097583,4.12272501,3.8000176,3.28448796,false
3.80002117,8500315,3.28403282,12796361,false,0.321097583,4.12272501,3.79999733,3.28445554,false
3.79985499,8499943,3.28269434,12794564,true,0.321228057,4.12285566,3.79998827,3.28427315,false
3.80019259,8500698,3.28532648,12798097,true,0.321054667,4.12268209,3.80000734,3.2840302,false
3.79988575,8500012,3.28409004,12796438,false,0.321054667,4.12268209,3.79998779,3.28425026,false
3.79982424,8499874,3.28343678,12795561,true,0.321212798,4.1228404,3.79998708,3.28416896,false
3.80016756,8500642,3.2834549,12795585,true,0.321061939,4.12268925,3.79999495,3.28409123,false
3.79973745,8499680,3.2863431,12799462,true,0.321298182,4.12292576,3.79994345,3.28431654,false
3.80009842,8500488,3.28350782,12795656,false,0.321298182,4.12292576,3.79995871,3.28405762,false
3.79999447,8500255,3.28581619,12798755,false,0.321298182,4.12292576,3.79996729,3.28422117,false
3.80011272,8500520,3.28264761,12794502,false,0.321298182,4.12292576,3.79998899,3.2841351,false
